,DR_NO,DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,LOCATION,LAT,LON
0,190326475,2020-03-01,2130,7,Wilshire,510,VEHICLE - STOLEN,0,M,1900 S  LONGWOOD                     AV,34.0375,-118.3506
1,200106753,2020-02-08,1800,1,Central,330,BURGLARY FROM VEHICLE,47,M,1000 S  FLOWER                       ST,34.0444,-118.2628
2,200320258,2020-11-04,1700,3,Southwest,480,BIKE - STOLEN,19,X,1400 W  37TH                         ST,34.021,-118.3002
3,200907217,2020-03-10,2037,9,Van Nuys,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),19,M,14000    RIVERSIDE                    DR,34.1576,-118.4387
4,220614831,2020-08-17,1200,6,Hollywood,354,THEFT OF IDENTITY,28,M,1900    TRANSIENT,34.0944,-118.3277
5,231808869,2020-12-01,2300,18,Southeast,354,THEFT OF IDENTITY,41,M,9900    COMPTON                      AV,33.9467,-118.2463
6,230110144,2020-07-03,900,1,Central,354,THEFT OF IDENTITY,25,M,1100 S  GRAND                        AV,34.0415,-118.262
7,220314085,2020-05-12,1110,3,Southwest,354,THEFT OF IDENTITY,27,F,2500 S  SYCAMORE                     AV,34.0335,-118.3537
8,231309864,2020-12-09,1400,13,Newton,354,THEFT OF IDENTITY,24,F,1300 E  57TH                         ST,33.9911,-118.2521
9,211904005,2020-12-31,1220,19,Mission,624,BATTERY - SIMPLE ASSAULT,26,M,9000    CEDROS                       AV,34.2336,-118.4535
10,221804943,2020-07-01,1335,18,Southeast,354,THEFT OF IDENTITY,26,M,100 W  COLDEN                       AV,33.9492,-118.2739
11,221908151,2020-10-01,1,19,Mission,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,8,F,13400    RANGOON                      ST,34.2285,-118.4258
12,230204214,2020-02-01,800,2,Rampart,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),7,F,900 N  MARIPOSA                     AV,34.0868,-118.2991
13,221008844,2020-11-01,130,10,West Valley,510,VEHICLE - STOLEN,0,nan,VALJEAN                      ST,34.1939,-118.4859
14,230312288,2020-02-02,315,3,Southwest,354,THEFT OF IDENTITY,56,M,4200    SANTO TOMAS                  DR,34.0103,-118.3456
15,231805781,2020-07-01,805,18,Southeast,354,THEFT OF IDENTITY,22,F,400 W  90TH                         ST,33.9551,-118.2814
16,231322474,2020-01-09,1200,13,Newton,354,THEFT OF IDENTITY,23,M,4000    WALL                         ST,34.0112,-118.2716
17,210705560,2020-11-27,1800,7,Wilshire,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",31,F,4500    LOMITA                       ST,34.0452,-118.3351
18,221016258,2020-01-01,1,10,West Valley,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",30,F,5200    GENESTA                      AV,34.166,-118.5033
19,220705246,2020-02-11,1200,7,Wilshire,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",57,F,800 S  TREMAINE                     AV,34.0608,-118.3359
20,230808643,2020-01-01,800,8,West LA,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",56,F,16700    MONTE HERMOSO                DR,34.0677,-118.552
21,231907172,2020-03-15,1200,19,Mission,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),12,F,8500    COLUMBUS                     AV,34.2246,-118.4654
22,232011098,2020-07-01,1200,20,Olympic,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),7,F,1700 S  WESTMORELAND                 AV,34.0433,-118.2892
23,200412582,2020-09-09,630,4,Hollenbeck,510,VEHICLE - STOLEN,0,nan,200 E  AVENUE 28,34.082,-118.213
24,232112438,2020-07-01,1200,21,Topanga,354,THEFT OF IDENTITY,46,M,21000    VANOWEN                      ST,34.1938,-118.5906
25,221105176,2020-02-09,1200,11,Northeast,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,30,F,2800    WAVERLY                      DR,34.1084,-118.2639
26,222106031,2020-08-14,1300,21,Topanga,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0,nan,7700    SAUSALITO                    AV,34.2105,-118.6157
27,200209713,2020-05-02,1800,2,Rampart,510,VEHICLE - STOLEN,0,nan,2500 W  4TH                          ST,34.0642,-118.2771
28,211209197,2020-07-01,1425,12,77th Street,354,THEFT OF IDENTITY,51,M,1600 W  67TH                         ST,33.9785,-118.3068
29,220808837,2020-03-30,1630,8,West LA,624,BATTERY - SIMPLE ASSAULT,24,F,1200 S  WESTGATE                     AV,34.0474,-118.4635
30,231207725,2020-01-27,635,12,77th Street,354,THEFT OF IDENTITY,37,M,6200    4TH                          AV,33.9837,-118.3216
31,231205231,2020-01-01,1535,12,77th Street,354,THEFT OF IDENTITY,27,M,100 E  85TH                         ST,33.961,-118.2739
32,231108757,2020-05-08,2023,11,Northeast,330,BURGLARY FROM VEHICLE,20,M,2800 E  OBSERVATORY                  RD,34.1192,-118.3004
33,221404806,2020-01-18,1600,14,Pacific,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,nan,WASHINGTON                   PL,34.0022,-118.4255
34,220215983,2020-05-26,1200,2,Rampart,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,nan,200 S  CORONADO                     ST,34.0697,-118.2779
35,211220472,2020-11-26,2000,12,77th Street,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,29,F,7800 S  SAN PEDRO                    ST,33.9679,-118.2695
36,211818877,2020-03-10,1500,18,Southeast,354,THEFT OF IDENTITY,26,M,8700    ORCHARD                      AV,33.9587,-118.2882
37,221515929,2020-04-01,1200,15,N Hollywood,354,THEFT OF IDENTITY,33,M,5700    CARTWRIGHT                   AV,34.174,-118.3638
38,230406865,2020-06-28,1250,4,Hollenbeck,354,THEFT OF IDENTITY,34,F,3400    PERCY                        ST,34.0286,-118.1996
39,231915767,2020-09-02,1,19,Mission,354,THEFT OF IDENTITY,15,F,8700    TOBIAS                       AV,34.228,-118.4517
40,221016530,2020-10-23,1735,10,West Valley,354,THEFT OF IDENTITY,65,M,17900    EMELITA                      ST,34.1776,-118.523
41,231210407,2020-01-01,1,12,77th Street,354,THEFT OF IDENTITY,59,F,700 E  73RD                         ST,33.9739,-118.263
42,220208037,2020-01-01,800,2,Rampart,813,CHILD ANNOYING (17YRS & UNDER),15,F,1100 W  6TH                          ST,34.0541,-118.2621
43,221504294,2020-10-30,1,15,N Hollywood,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),9,M,5700    COLFAX                       AV,34.174,-118.3878
44,221312369,2020-12-10,700,13,Newton,354,THEFT OF IDENTITY,33,M,2700 S  CENTRAL                      AV,34.0174,-118.2621
45,220911866,2020-02-01,505,9,Van Nuys,354,THEFT OF IDENTITY,34,F,15200    LA MAIDA                     ST,34.1585,-118.464
46,231906599,2020-01-14,1335,19,Mission,354,THEFT OF IDENTITY,35,M,14500    WILLOWGREEN                  LN,34.3194,-118.4518
47,220321807,2020-05-17,1620,3,Southwest,354,THEFT OF IDENTITY,50,M,1400 W  25TH                         ST,34.0337,-118.2915
48,221216052,2020-02-23,1000,12,77th Street,354,THEFT OF IDENTITY,28,F,500 W  75TH                         ST,33.9717,-118.2827
49,220508440,2020-07-07,1200,5,Harbor,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",64,M,2300 S  MEYLER                       ST,33.7234,-118.2968
50,220213256,2020-07-14,900,2,Rampart,354,THEFT OF IDENTITY,79,M,1200 W  7TH                          ST,34.0552,-118.2675
51,221607555,2020-08-01,1200,16,Foothill,354,THEFT OF IDENTITY,40,F,11100    HERRICK                      AV,34.2713,-118.415
52,221516944,2020-06-01,1200,15,N Hollywood,354,THEFT OF IDENTITY,59,M,6700    BAKMAN                       AV,34.1925,-118.3779
53,230617817,2020-11-13,2015,6,Hollywood,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,nan,7200    FRANKLIN                     AV,34.1146,-118.3607
54,231115685,2020-11-12,1430,11,Northeast,440,THEFT PLAIN - PETTY ($950 & UNDER),27,M,3300    GLENDALE                     BL,34.1142,-118.2652
55,231707687,2020-05-08,1845,17,Devonshire,354,THEFT OF IDENTITY,44,M,17100    CHATSWORTH                   ST,34.2648,-118.5055
56,230711357,2020-01-01,1,7,Wilshire,354,THEFT OF IDENTITY,32,F,4900 W  WASHINGTON                   BL,34.0431,-118.3482
57,220409258,2020-03-29,1315,4,Hollenbeck,354,THEFT OF IDENTITY,16,M,2600 E  4TH                          ST,34.0395,-118.2093
58,220119956,2020-07-01,1130,1,Central,354,THEFT OF IDENTITY,22,F,800 S  HOPE                         ST,34.0466,-118.259
59,240604173,2020-07-09,1230,6,Hollywood,354,THEFT OF IDENTITY,21,M,6200    HOLLYWOOD                    BL,34.103,-118.3225
60,220104934,2020-12-20,1730,1,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,6TH                          ST,34.0403,-118.2421
61,230817493,2020-09-13,2100,8,West LA,626,INTIMATE PARTNER - SIMPLE ASSAULT,42,F,1700    COMSTOCK                     AV,34.0596,-118.4233
62,221718084,2020-12-02,1510,17,Devonshire,440,THEFT PLAIN - PETTY ($950 & UNDER),15,F,9300    TAMPA                        AV,34.244,-118.5583
63,221110929,2020-06-27,1945,11,Northeast,330,BURGLARY FROM VEHICLE,34,F,2800    COLORADO                     BL,34.1428,-118.2261
64,231711735,2020-09-02,800,17,Devonshire,354,THEFT OF IDENTITY,46,F,17400    NORDHOFF                     ST,34.2394,-118.5112
65,231912127,2020-01-26,1735,19,Mission,354,THEFT OF IDENTITY,46,F,14600    NURMI                        ST,34.307,-118.4521
66,231818830,2020-01-01,1,18,Southeast,762,LEWD CONDUCT,6,M,500 W  108TH                        ST,33.9383,-118.2826
67,221710268,2020-05-20,600,17,Devonshire,441,THEFT PLAIN - ATTEMPT,72,F,18600    PRAIRIE                      ST,34.2442,-118.5362
68,231007464,2020-06-25,1225,10,West Valley,354,THEFT OF IDENTITY,28,F,7400    JAMIESON                     AV,34.2048,-118.5219
69,221917823,2020-04-05,1550,19,Mission,354,THEFT OF IDENTITY,23,M,15400    EL CAJON                     ST,34.3054,-118.4681
70,211404152,2020-12-28,1600,14,Pacific,310,BURGLARY,44,F,12600 W  JEFFERSON                    BL,33.9788,-118.4151
71,231205374,2020-10-12,1200,12,77th Street,354,THEFT OF IDENTITY,35,M,8300 S  HARVARD                      BL,33.9636,-118.3068
72,231505589,2020-09-01,1200,15,N Hollywood,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),10,F,10800    HORTENSE                     ST,34.1548,-118.3662
73,231420506,2020-04-02,1825,14,Pacific,354,THEFT OF IDENTITY,60,F,12700    PACIFIC                      AV,33.9993,-118.4397
74,221508505,2020-12-31,1200,15,N Hollywood,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,nan,5900    CARPENTER                    AV,34.1776,-118.3889
75,231817823,2020-08-23,1,18,Southeast,354,THEFT OF IDENTITY,32,F,1500 E  112TH                        ST,33.9332,-118.2485
76,231212586,2020-06-03,2150,12,77th Street,354,THEFT OF IDENTITY,36,F,6400    8TH                          AV,33.9821,-118.3318
77,220309099,2020-06-23,1530,3,Southwest,354,THEFT OF IDENTITY,72,F,2600    CARMONA                      AV,34.0325,-118.3639
78,201810154,2020-04-22,1900,18,Southeast,510,VEHICLE - STOLEN,0,nan,90TH,33.9547,-118.2717
79,221412410,2020-11-12,1700,14,Pacific,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,nan,13600    MARINA POINT                 DR,33.9876,-118.4489
80,211505284,2020-12-27,2000,15,N Hollywood,330,BURGLARY FROM VEHICLE,18,F,10900    BLUFFSIDE                    DR,34.1412,-118.3681
81,220209598,2020-12-29,800,2,Rampart,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",27,F,1300    ANGELINA                     ST,34.0648,-118.2559
82,220316688,2020-09-11,2100,3,Southwest,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),27,F,1300 W  37TH                         DR,34.0191,-118.2977
83,231814007,2020-10-27,915,18,Southeast,354,THEFT OF IDENTITY,29,F,2200 E  111TH                        ST,33.9345,-118.2329
84,222004619,2020-12-20,1529,20,Olympic,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",63,M,2500 W  OLYMPIC                      BL,34.0524,-118.2842
85,220208989,2020-04-14,945,2,Rampart,354,THEFT OF IDENTITY,28,M,600 S  UNION                        AV,34.0565,-118.2724
86,221209581,2020-01-01,800,12,77th Street,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),9,F,5500 S  VERMONT                      AV,33.9921,-118.298
87,220917870,2020-03-16,1025,9,Van Nuys,354,THEFT OF IDENTITY,41,F,6500    WOODMAN                      AV,34.1887,-118.4313
88,221017007,2020-04-23,1,10,West Valley,354,THEFT OF IDENTITY,44,F,6000    DONNA                        AV,34.1787,-118.5475
89,232112058,2020-04-26,2110,21,Topanga,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",17,F,4500    CEZANNE                      AV,34.1484,-118.6033
90,220313293,2020-06-30,1400,3,Southwest,626,INTIMATE PARTNER - SIMPLE ASSAULT,25,F,VERMONT                      AV,34.0055,-118.2915
91,220320985,2020-01-01,1200,3,Southwest,813,CHILD ANNOYING (17YRS & UNDER),5,F,5500    GEER                         ST,34.0301,-118.3636
92,221909318,2020-05-08,1120,19,Mission,330,BURGLARY FROM VEHICLE,36,M,9900    LEMONA                       AV,34.2573,-118.463
93,231510293,2020-11-24,200,15,N Hollywood,510,VEHICLE - STOLEN,0,nan,7500    LAUREL CANYON                BL,34.2071,-118.3965
94,230714162,2020-08-03,1908,7,Wilshire,354,THEFT OF IDENTITY,18,M,5100 W  21ST                         ST,34.0394,-118.3541
95,221110658,2020-02-28,1625,11,Northeast,354,THEFT OF IDENTITY,39,M,3600    TRACY                        ST,34.1037,-118.2722
96,220207597,2020-10-01,2200,2,Rampart,210,ROBBERY,62,M,1300 S  ALVARADO                     ST,34.0473,-118.2827
97,221713038,2020-03-10,1800,17,Devonshire,662,"BUNCO, GRAND THEFT",32,M,18400    PLUMMER                      ST,34.2428,-118.5338
98,221105273,2020-02-02,1200,11,Northeast,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,nan,100 W  AVENUE 44,34.0951,-118.208
99,230710696,2020-12-17,1,7,Wilshire,354,THEFT OF IDENTITY,26,F,100 S  FLORES                       ST,34.0744,-118.3711
100,231510050,2020-05-08,1200,15,N Hollywood,626,INTIMATE PARTNER - SIMPLE ASSAULT,29,F,5300    CLEON                        AV,34.167,-118.3686
101,230911729,2020-04-01,5,9,Van Nuys,354,THEFT OF IDENTITY,56,F,6600    PEACH                        AV,34.1903,-118.4676
102,221209383,2020-02-25,1930,12,77th Street,354,THEFT OF IDENTITY,24,M,4600    WESLEY                       AV,34.0016,-118.2878
103,220211619,2020-12-16,457,2,Rampart,330,BURGLARY FROM VEHICLE,32,M,200 S  VENDOME                      ST,34.0689,-118.2841
104,231105297,2020-07-27,1000,11,Northeast,354,THEFT OF IDENTITY,25,M,4200    CLAYTON                      AV,34.1,-118.2819
105,232011006,2020-06-01,1200,20,Olympic,662,"BUNCO, GRAND THEFT",44,M,1500 S  GRAMERCY                     PL,34.0453,-118.313
106,221308122,2020-03-10,35,13,Newton,354,THEFT OF IDENTITY,30,F,1400 E  20TH                         ST,34.0218,-118.249
107,201410122,2020-04-28,100,14,Pacific,510,VEHICLE - STOLEN,0,nan,3600    KEYSTONE                     AV,34.0238,-118.4095
108,231709319,2020-12-14,1545,17,Devonshire,354,THEFT OF IDENTITY,42,M,11100    DENSMORE                     AV,34.2728,-118.4788
109,221917253,2020-06-15,1200,19,Mission,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,nan,8600    LANGDON                      AV,34.2265,-118.4699
110,220204234,2020-12-20,815,2,Rampart,354,THEFT OF IDENTITY,58,F,700    WITMER                       ST,34.0524,-118.2678
111,220604399,2020-09-19,1600,6,Hollywood,354,THEFT OF IDENTITY,30,M,WILTON,34.0928,-118.3136
112,231320297,2020-05-08,1120,13,Newton,354,THEFT OF IDENTITY,51,M,200 W  60TH                         ST,33.9851,-118.2765
113,221511470,2020-07-11,1200,15,N Hollywood,354,THEFT OF IDENTITY,63,M,12600    OTSEGO                       ST,34.1631,-118.4074
114,231309161,2020-01-01,1,13,Newton,354,THEFT OF IDENTITY,45,M,200 W  62ND                         ST,33.9833,-118.2765
115,230513434,2020-09-01,1,5,Harbor,662,"BUNCO, GRAND THEFT",54,F,600 N  FRIES                        AV,33.777,-118.2648
116,221516098,2020-10-13,1200,15,N Hollywood,860,BATTERY WITH SEXUAL CONTACT,29,M,10900    BLIX                         ST,34.1567,-118.368
117,230118041,2020-08-27,2100,1,Central,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,59,F,800 W  1ST                          ST,34.057,-118.2508
118,221205458,2020-10-10,820,12,77th Street,820,ORAL COPULATION,14,F,800 W  83RD                         ST,33.9636,-118.2871
119,231315967,2020-01-01,1530,13,Newton,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),12,F,4800 S  SAN PEDRO                    ST,33.9994,-118.2696
120,220514938,2020-07-01,1800,5,Harbor,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),12,F,1600 W  206TH                        ST,33.8438,-118.3066
121,230606306,2020-03-20,1800,6,Hollywood,661,UNAUTHORIZED COMPUTER ACCESS,30,F,8100    WILLOW GLEN                  RD,34.1162,-118.3738
122,221507710,2020-01-30,1305,15,N Hollywood,354,THEFT OF IDENTITY,71,F,11300    OTSEGO                       ST,34.163,-118.3774
123,221300973,2020-06-01,1900,13,Newton,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",14,F,4600 S  MAIN                         ST,34.002,-118.274
124,222114709,2020-06-19,600,21,Topanga,354,THEFT OF IDENTITY,42,F,7900    SAUSALITO                    AV,34.2141,-118.6157
125,221006046,2020-11-19,1200,10,West Valley,354,THEFT OF IDENTITY,69,F,17900    SHERMAN                      WY,34.2009,-118.5229
126,221609983,2020-08-01,1200,16,Foothill,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,49,F,9700    PINEWOOD                     AV,34.2452,-118.2855
127,221806358,2020-02-21,2300,18,Southeast,354,THEFT OF IDENTITY,26,F,2000 E  115TH                        ST,33.9305,-118.2363
128,221315910,2020-08-02,1415,13,Newton,354,THEFT OF IDENTITY,63,M,4600 S  BROADWAY,34.002,-118.2783
129,230908117,2020-07-31,1,9,Van Nuys,354,THEFT OF IDENTITY,41,M,4200    VENTURA CANYON               AV,34.1464,-118.4294
130,231309176,2020-10-19,1445,13,Newton,354,THEFT OF IDENTITY,57,M,100 W  70TH                         ST,33.9765,-118.2739
131,232014656,2020-06-25,1445,20,Olympic,354,THEFT OF IDENTITY,24,F,400 S  CATALINA                     ST,34.0672,-118.2954
132,221905982,2020-02-20,1500,19,Mission,901,VIOLATION OF RESTRAINING ORDER,15,F,CANTERBURY,34.2373,-118.4327
133,230109090,2020-04-10,200,1,Central,354,THEFT OF IDENTITY,36,M,700 S  SPRING                       ST,34.0438,-118.2547
134,221309225,2020-04-03,144,13,Newton,354,THEFT OF IDENTITY,29,M,2700 S  GRAND                        AV,34.0254,-118.2729
135,210904288,2020-12-27,1600,9,Van Nuys,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),22,F,14000    RIVERSIDE                    DR,34.1576,-118.4389
136,231905726,2020-01-01,1,19,Mission,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),5,F,14700    BLYTHE                       ST,34.2152,-118.4531
137,221615196,2020-12-01,1,16,Foothill,354,THEFT OF IDENTITY,22,M,12100    MERCER                       ST,34.2865,-118.3976
138,220120619,2020-09-15,1541,1,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",26,M,900 S  MAIN                         ST,34.0416,-118.255
139,220610269,2020-10-08,1925,6,Hollywood,354,THEFT OF IDENTITY,38,M,1000    WILCOX                       AV,34.0889,-118.331
140,230218442,2020-01-01,900,2,Rampart,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),13,F,200 S  LAKE                         ST,34.0663,-118.2719
141,221004804,2020-11-23,1435,10,West Valley,354,THEFT OF IDENTITY,61,M,18600    VENTURA                      BL,34.1698,-118.5386
142,232110833,2020-06-01,1200,21,Topanga,354,THEFT OF IDENTITY,33,F,6800    ALABAMA                      AV,34.1937,-118.599
143,231806653,2020-03-04,800,18,Southeast,946,OTHER MISCELLANEOUS CRIME,-2,X,100 W  108TH                        ST,33.9401,-118.2761
144,220706120,2020-10-13,900,7,Wilshire,354,THEFT OF IDENTITY,27,F,700 N  GENESEE                      AV,34.0838,-118.3584
145,230208225,2020-03-28,1450,2,Rampart,354,THEFT OF IDENTITY,20,F,200    WITMER                       ST,34.061,-118.2615
146,221806331,2020-04-10,815,18,Southeast,440,THEFT PLAIN - PETTY ($950 & UNDER),28,M,200 W  MANCHESTER                   AV,33.9601,-118.2768
147,210704053,2020-12-31,400,7,Wilshire,310,BURGLARY,31,F,100 N  CROFT                        AV,34.0745,-118.3742
148,231221370,2020-03-20,1000,12,77th Street,354,THEFT OF IDENTITY,37,F,7500 S  SAN PEDRO                    ST,33.9722,-118.2696
149,221016479,2020-07-24,1500,10,West Valley,761,BRANDISH WEAPON,59,F,SHERMAN                      WY,34.2012,-118.5133
150,221011289,2020-03-01,1200,10,West Valley,626,INTIMATE PARTNER - SIMPLE ASSAULT,43,M,SHIRLEY,34.2204,-118.5579
151,231421770,2020-03-13,1200,14,Pacific,440,THEFT PLAIN - PETTY ($950 & UNDER),45,M,CAMPUS CENTER                DR,33.9775,-118.4065
152,221811572,2020-08-02,324,18,Southeast,354,THEFT OF IDENTITY,63,M,10400 S  VERMONT                      AV,33.9423,-118.2916
153,230404996,2020-08-23,800,4,Hollenbeck,649,DOCUMENT FORGERY / STOLEN FELONY,78,F,3400    GARNET                       ST,34.0231,-118.2039
154,232117501,2020-05-10,1645,21,Topanga,354,THEFT OF IDENTITY,25,M,6500    INDEPENDENCE                 AV,34.1889,-118.5905
155,221220860,2020-01-18,1,12,77th Street,354,THEFT OF IDENTITY,67,M,5200 S  MANHATTAN                    PL,33.9951,-118.3102
156,220504655,2020-01-19,2200,5,Harbor,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0,X,300 S  WEYMOUTH                     AV,33.7421,-118.3102
157,230813464,2020-10-01,1755,8,West LA,354,THEFT OF IDENTITY,25,F,800    HILGARD                      AV,34.0664,-118.4397
158,231905565,2020-01-01,5,19,Mission,626,INTIMATE PARTNER - SIMPLE ASSAULT,26,F,9400    KESTER                       AV,34.2412,-118.4558
159,220910623,2020-11-19,1,9,Van Nuys,354,THEFT OF IDENTITY,53,F,6300    MORSE                        AV,34.1864,-118.4159
160,221226041,2020-11-20,1010,12,77th Street,440,THEFT PLAIN - PETTY ($950 & UNDER),57,F,8300 S  HOOVER                       ST,33.9633,-118.2871
161,231207476,2020-08-15,1,12,77th Street,310,BURGLARY,72,M,8800    HAAS                         AV,33.958,-118.317
162,221708027,2020-08-09,905,17,Devonshire,354,THEFT OF IDENTITY,35,F,17600    BLACKHAWK                    ST,34.2586,-118.5169
163,220717687,2020-02-12,840,7,Wilshire,354,THEFT OF IDENTITY,26,M,400 N  FULLER                       AV,34.0783,-118.3498
164,230507674,2020-07-30,835,5,Harbor,354,THEFT OF IDENTITY,28,M,800 W  19TH                         ST,33.727,-118.2946
165,220909334,2020-10-01,1400,9,Van Nuys,354,THEFT OF IDENTITY,47,M,4700    BURNET                       AV,34.1559,-118.4629
166,221015665,2020-06-09,1535,10,West Valley,354,THEFT OF IDENTITY,25,F,19200    HAYNES                       ST,34.1896,-118.5515
167,201308739,2020-03-27,1210,13,Newton,510,VEHICLE - STOLEN,0,nan,3200 S  SAN PEDRO                    ST,34.017,-118.2643
168,221225047,2020-12-02,1535,12,77th Street,354,THEFT OF IDENTITY,29,F,6800    10TH                         AV,33.9773,-118.3279
169,231810634,2020-01-02,800,18,Southeast,354,THEFT OF IDENTITY,21,M,9700 S  CENTRAL                      AV,33.9482,-118.2541
170,221007765,2020-04-06,1200,10,West Valley,510,VEHICLE - STOLEN,0,nan,6600    RESEDA                       BL,34.1958,-118.5399
171,220311221,2020-04-29,1,3,Southwest,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,19,X,1500 W  MARTIN LUTHER KING JR        BL,34.0108,-118.3135
172,220318793,2020-10-19,1900,3,Southwest,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),11,F,5500    GEER                         ST,34.0301,-118.3636
173,221209976,2020-09-27,1104,12,77th Street,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",23,F,200 E  84TH                         PL,33.9619,-118.2717
174,230605916,2020-02-09,1415,6,Hollywood,354,THEFT OF IDENTITY,35,M,1700 N  LAS PALMAS                   AV,34.1016,-118.3361
175,241204387,2020-05-05,1025,12,77th Street,354,THEFT OF IDENTITY,39,M,900 E  82ND                         ST,33.9647,-118.2586
176,231420590,2020-11-20,1000,14,Pacific,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",37,M,500    SAN JUAN                     AV,33.9921,-118.4692
177,230113770,2020-03-20,800,1,Central,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",60,M,300 S  HOPE                         ST,34.0537,-118.2523
178,220712955,2020-11-08,1005,7,Wilshire,440,THEFT PLAIN - PETTY ($950 & UNDER),59,F,100 S  FLORES                       ST,34.0744,-118.3711
179,230710300,2020-07-26,1200,7,Wilshire,662,"BUNCO, GRAND THEFT",34,F,700 N  ALFRED                       ST,34.0836,-118.3753
180,220717203,2020-03-01,945,7,Wilshire,354,THEFT OF IDENTITY,54,F,100 N  FULLER                       AV,34.0736,-118.3498
181,220904776,2020-12-28,1200,9,Van Nuys,310,BURGLARY,48,M,4600    VAN NUYS                     BL,34.1548,-118.4487
182,221006113,2020-08-24,2000,10,West Valley,330,BURGLARY FROM VEHICLE,46,M,GLORIA,34.1961,-118.4793
183,231007048,2020-07-30,1645,10,West Valley,354,THEFT OF IDENTITY,20,F,6600    RESEDA                       BL,34.1958,-118.5399
184,221711184,2020-05-15,155,17,Devonshire,354,THEFT OF IDENTITY,27,M,8300    WHITE OAK                    AV,34.221,-118.5186
185,220407814,2020-04-01,5,4,Hollenbeck,121,"RAPE, FORCIBLE",10,F,3100    WINTER                       ST,34.0468,-118.1964
186,231205329,2020-06-20,1140,12,77th Street,354,THEFT OF IDENTITY,36,F,1400 W  47TH                         ST,34.001,-118.3002
187,220619758,2020-06-15,1500,6,Hollywood,626,INTIMATE PARTNER - SIMPLE ASSAULT,10,F,7200    FRANKLIN                     AV,34.1037,-118.3459
188,211104796,2020-01-23,800,11,Northeast,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X,1200    WESTERLY                     TR,34.0845,-118.2726
189,241204463,2020-06-07,1315,12,77th Street,354,THEFT OF IDENTITY,35,F,10200    RUTHELEN                     ST,33.944,-118.3123
