,DR_NO,DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,LOCATION,LAT,LON
4249,202018449,2020-11-25,1700,20,Olympic,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,900 S  WESTERN                      AV,34.0556,-118.3091
4250,201223645,2020-10-30,2330,12,77th Street,761,BRANDISH WEAPON,35,F,6200 S  FIGUEROA                     ST,33.983,-118.2827
4251,200410792,2020-07-14,2355,4,Hollenbeck,510,VEHICLE - STOLEN,0,nan,1200    STONE                        ST,34.0524,-118.1931
4252,200716295,2020-11-23,900,7,Wilshire,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,33,M,2100 S  RIMPAU                       BL,34.0357,-118.3455
4253,201215643,2020-03-12,300,12,77th Street,310,BURGLARY,34,M,4900 S  GRAMERCY                     PL,33.998,-118.3139
4254,201108156,2020-04-06,1515,11,Northeast,440,THEFT PLAIN - PETTY ($950 & UNDER),0,M,1900 W  SUNSET                       BL,34.0808,-118.2655
4255,201405755,2020-01-25,650,14,Pacific,330,BURGLARY FROM VEHICLE,27,M,PENMAR,34.005,-118.459
4256,200814799,2020-09-29,1400,8,West LA,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",38,F,10900    BELLAGIO                     RD,34.0956,-118.451
4257,200704961,2020-01-21,1520,7,Wilshire,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",32,M,700 N  HIGHLAND                     AV,34.0835,-118.3386
4258,201809738,2020-04-13,1800,18,Southeast,510,VEHICLE - STOLEN,0,nan,92ND                         ST,33.9469,-118.2772
4259,200509281,2020-05-10,1430,5,Harbor,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",72,M,AVALON,33.7756,-118.2621
4260,200614112,2020-08-11,1840,6,Hollywood,354,THEFT OF IDENTITY,28,M,1500 N  SERRANO                      AV,34.1,-118.3113
